gender,driver_age_raw,driver_age,driver_race,violation,search_conducted,stop_outcome,arrested,drugs_related_stop
1.0,1985.0,20.0,0.0,1.0,0,1.0,0.0,0
1.0,1965.0,40.0,0.0,1.0,0,1.0,0.0,0
1.0,1972.0,33.0,0.0,1.0,0,1.0,0.0,0
1.0,1986.0,19.0,0.0,4.0,0,2.0,1.0,0
0.0,1984.0,21.0,0.0,1.0,0,1.0,0.0,0
1.0,1982.0,23.0,1.0,3.0,0,1.0,0.0,0
1.0,1969.0,36.0,0.0,1.0,0,1.0,0.0,0
0.0,1986.0,19.0,0.0,1.0,0,1.0,0.0,0
1.0,1970.0,35.0,1.0,1.0,0,1.0,0.0,0
1.0,1970.0,35.0,0.0,1.0,0,1.0,0.0,0
1.0,1979.0,26.0,2.0,1.0,0,1.0,0.0,0
0.0,1966.0,39.0,0.0,1.0,0,1.0,0.0,0
1.0,1979.0,26.0,0.0,1.0,0,1.0,0.0,0
0.0,1984.0,21.0,0.0,1.0,0,1.0,0.0,0
1.0,1969.0,36.0,0.0,1.0,0,1.0,0.0,0
1.0,1982.0,23.0,0.0,1.0,0,1.0,0.0,0
1.0,1982.0,23.0,0.0,1.0,0,1.0,0.0,0
1.0,1979.0,26.0,0.0,3.0,0,1.0,0.0,0
1.0,1955.0,50.0,0.0,1.0,0,1.0,0.0,0
0.0,1958.0,47.0,0.0,1.0,0,1.0,0.0,0
0.0,1979.0,26.0,2.0,1.0,0,1.0,0.0,0
1.0,1953.0,52.0,0.0,2.0,0,1.0,0.0,0
1.0,1955.0,50.0,1.0,2.0,0,2.0,1.0,0
0.0,1967.0,38.0,0.0,1.0,0,1.0,0.0,0
1.0,1979.0,26.0,0.0,2.0,1,2.0,1.0,0
1.0,1964.0,41.0,0.0,1.0,0,1.0,0.0,0
0.0,1977.0,28.0,0.0,1.0,0,1.0,0.0,0
1.0,1984.0,21.0,0.0,1.0,0,1.0,0.0,0
1.0,1959.0,46.0,1.0,2.0,0,1.0,0.0,0
1.0,1982.0,23.0,0.0,1.0,0,2.0,1.0,0
1.0,1973.0,32.0,0.0,1.0,0,1.0,0.0,0
1.0,1953.0,52.0,0.0,2.0,0,1.0,0.0,0
1.0,1947.0,58.0,0.0,1.0,0,1.0,0.0,0
1.0,1978.0,27.0,0.0,3.0,0,4.0,0.0,0
0.0,1986.0,19.0,0.0,1.0,0,1.0,0.0,0
1.0,1962.0,43.0,2.0,1.0,0,1.0,0.0,0
1.0,1981.0,24.0,0.0,1.0,0,1.0,0.0,0
1.0,1988.0,17.0,0.0,1.0,0,1.0,0.0,0
1.0,1988.0,17.0,0.0,3.0,1,2.0,1.0,1
1.0,1988.0,17.0,0.0,3.0,1,1.0,0.0,1
